	MCL1	Ceramide	sFas	Apoptosis	BID	S1P	Caspase	FLIP	IFNG	TCR	SMAD	P2	DISC	CREB	Fas	CTLA4	GPCR	IAP
E10_87	0.0022582615830698	0.0014238377509714	0.0742557225247927	2.107756767939396	0.0117422780911048	0.1101593808313311	0.0091575074505308	0.0446032484021452	0.0447141884394394	0.0304028493018717	0.0472350443609102	0.0194540219030381	0.0113059101114819	0.0071850504704452	0.0978796227737307	0.0014900541027556	0.0067725131738486	0.0619972887202864
E11_370	0.0070446266015015	0.0033609701675565	0.0392598837473755	2.1696519052656367	0.0212192516845098	0.0003780322498491	0.019433410638579	0.0300539611968211	0.0307061486646751	0.0721648925110801	0.0195493875133434	0.0220095938798152	0.1329693384314117	0.0774593245066169	0.1081088818374848	0.0228932588430722	0.0032035956237797	0.0049222665317956
E12_363	0.0134448380275607	0.0839083672339985	0.0049474363712089	2.3351331018471626	0.0154170109533611	0.0012582310300648	0.0037510983063251	0.0016568692901524	0.0039266200705719	0.018597638016832	0.0477988269280897	0.0239341935606302	0.0058157440260621	0.1791809114954726	0.1168840794536755	0.0097531797040849	0.0003386564686534	0.0212157748165244
E13_673	0.0069474324466088	0.0251940982540427	0.0027334372607271	2.3746132741917574	0.0214614935904223	0.0182039482973663	0.0066695942853305	5.724902151496049e-05	0.0494266808000431	0.0071494192250913	0.0054265053615489	0.010399093596948	0.0192919555237329	0.0037002996670897	0.0018006867605591	0.0031222397918056	0.0465741919834842	0.0011882215641923
E14_451	0.0312313638324717	0.0158111863147542	0.0245432885772382	1.9429729223762704	0.0073707982695316	0.0154658941833664	0.0001080409890471	0.1108468997916888	0.0174882722430369	0.0077426666103556	0.0059413268802352	0.0243767053992692	4.682864004290632e-05	0.0077150423215121	0.0126409206381652	0.0606942396109587	0.0079429854112274	0.0027548002311918
E15_482	0.0016675674866135	0.0183318229612185	0.0059251321044725	2.233408620577989	0.0098120834489185	0.0122626574423055	0.0039137053817321	0.0104813807351008	0.0023929916103886	0.0658089484606643	0.0031197230028868	0.0083657595456709	0.0116159935989716	0.0374833225662691	0.0070434587734124	0.0355131272207794	0.0198292355674223	0.1393589724098703
E16_738	0.0113159576673282	0.0006022570549103	0.0013988704759586	2.270489172223708	0.0373997632059825	0.0023367579108223	0.0054723814237358	0.000934046631297	0.0152420084760811	0.002997805270573	0.0240536609137938	0.0144635942395597	0.0003257898232731	0.0014225318998154	0.0648151358921223	0.0173660081211706	0.0169177075446205	0.0538562508919428
E17_366	0.0208682630983414	0.007908992950147	0.0045787439165547	2.1040842883134667	0.1369721345541474	0.0016148833908428	0.0146894780449135	0.0024273917772784	0.00207274076715	0.0482278255886253	0.0176256656530991	0.0204544549441053	0.0006217977542088	0.0013113544060556	0.0009029899959008	0.0001485281810556	0.0558658725272759	0.0209755613275597
E18_591	0.0119814562805477	0.0365305928282438	0.0211636812078272	2.244936328491661	0.0330124126213989	0.051409252267934	0.0019776568055004	0.0117073312327872	0.0019866761469443	0.0019518009124023	0.000818986866359	0.0189016188565425	0.0265808237452064	0.0116906631076681	0.0139118997536567	0.0166665578175255	0.0031023840624329	0.0132216658951619
E19_476	0.0073437403472417	0.0212818896405719	0.0134843212740716	1.9382003101980627	0.0120549524404562	0.007365715566111	0.0387244643001774	0.0026726541992171	0.0417023250560062	0.0311821021620387	0.0559792049784505	0.043489109358716	0.0057145064491107	0.0162204690085576	0.0034397382751763	0.0275087852598123	0.0075083367106678	0.032802598010093
E20_356	0.0067792895134841	0.0015850855458814	0.0306325786200459	1.8115881201828647	0.0830550792674064	0.0029202700015862	0.0086048974977536	0.0158026726619145	0.0084393341433049	0.0419005847281192	0.0068049891166932	0.0008739753270892	0.0642544531317644	0.0024219892753839	0.0047301275227839	0.0059867991102018	0.0026123827373891	0.0124868224062552
E21_108	0.0746445205378845	0.0032686309047947	0.1109597298447313	2.192190045101833	0.1123485517436176	0.1174728654400907	0.0023804594929667	0.0126989574069625	0.0467698828516018	0.0216369144036793	0.0163246037557379	0.0003305091420081	0.0389573819129111	0.0349048809993902	0.1681270287731357	0.0149907771387782	0.0003970473181746	0.0693443613029982
E22_91	0.0180852845533945	0.0534695790378408	0.0003830206379976	1.7735309661458545	0.0186719350534269	0.0657405428930334	0.0108548030660513	0.0372735340852196	0.0990350547011708	0.0059238556928831	0.0412680873713715	0.0042052668828101	0.0656953239830284	0.0199648417628059	0.1236612737771762	0.0683708706136999	0.0398662561699763	0.010259635315208
E23_450	0.0318098158904402	0.0070203961376792	0.1072610024091998	2.0501725659736394	0.0477569517137799	0.0025544187997718	0.0052102929590121	0.0145841376881551	0.0442971509287493	0.0034613310522142	0.0026497059886395	0.0072422565771011	0.0080495046941028	0.0293744334051528	0.0632906797923465	0.0060003438819031	0.0121455924483976	0.0054225325940429
